,L,R,F,M,C
0,90,1,210,580717,0.9616390429999999
1,87,11,135,283712,1.254675516
2,68,97,23,281336,1.090869565
3,60,5,152,309928,0.970657895
4,74,79,92,294585,0.967692483
5,97,1,101,287042,0.965346535
6,48,3,73,287230,0.962070222
7,45,15,64,375074,0.7080101529999999
8,40,22,43,262013,0.988658044
9,114,6,145,271438,0.95253487
10,89,67,29,321529,0.799126984
11,90,3,118,179514,1.398381742
12,50,2,50,270067,0.9219848409999999
13,73,65,22,234721,1.0260845859999999
14,45,7,101,172231,1.3865249
15,97,2,64,169358,1.4015962640000001
16,31,24,38,332896,0.70828541
17,69,4,106,167113,1.369404116
18,109,23,94,305250,0.741803833
19,42,17,62,243674,0.9029900190000001
20,87,3,213,187917,1.146354614
21,112,11,74,148685,1.4333644280000002
22,100,18,101,159129,1.33816985
23,70,11,87,149254,1.424714581
24,97,2,53,144076,1.469224298
25,113,8,95,149053,1.414895104
26,109,16,131,220948,0.9448842709999999
27,97,3,95,148227,1.3986401940000002
28,54,108,25,220389,0.937899941
29,111,34,24,189813,1.087220053
30,97,125,54,141012,1.462104927
31,83,1,166,229303,0.890172305
32,61,34,81,140819,1.4291794430000002
33,96,2,98,137876,1.458541443
34,38,3,35,201141,0.9985545459999999
35,88,3,95,140803,1.3969850069999998
36,47,13,46,256766,0.764737193
37,113,38,54,160825,1.20853437
38,20,1,110,187588,1.015978367
39,93,7,134,140356,1.356053179
40,111,2,107,135811,1.3989924230000002
41,45,304,70,219282,0.863479447
42,71,1,189,235687,0.802633323
43,27,4,87,132283,1.4251770069999998
44,89,11,29,211369,0.8888699859999999
45,76,1,48,130135,1.408197795
46,82,1,68,135374,1.349375212
47,113,4,111,216560,0.828452854
48,77,22,69,131660,1.3549435669999998
49,74,4,126,204371,0.867522349
50,112,15,55,153868,1.1460005979999999
51,111,21,76,214921,0.819187329
52,110,15,68,127335,1.380410335
53,113,1,77,136121,1.2880183809999999
54,46,6,84,186821,0.9380310559999999
55,35,14,96,204612,0.848239546
56,46,8,30,164001,1.0572572120000001
57,105,19,85,121097,1.4261062619999998
58,77,88,32,182563,0.9446501209999999
59,45,19,34,170121,1.0136699759999999
60,41,1,197,275800,0.620507614
61,19,62,18,209911,0.8118710790000001
62,54,19,64,137636,1.236256939
63,27,4,149,219108,0.774487057
64,77,13,61,143186,1.183962818
65,42,36,36,209839,0.8061770690000001
66,44,22,22,170406,0.992454374
67,12,29,23,169224,0.995539285
68,41,8,102,140220,1.1793689920000001
69,102,6,81,159255,1.034587737
70,21,6,30,208687,0.782406571
71,93,12,127,170611,0.956332827
72,67,2,56,116728,1.394863786
73,23,1,79,208797,0.777341772
74,110,9,97,155881,1.036667137
75,114,2,158,205159,0.784701427
76,96,7,64,115300,1.3912993059999998
77,45,13,51,137500,1.165835855
78,82,144,29,157056,1.0178590440000002
79,78,1,69,114077,1.3874902919999998
80,70,15,88,122619,1.281481989
81,38,15,42,162453,0.9660694479999999
82,87,10,129,109813,1.429138536
83,89,14,67,123464,1.265322199
84,48,53,12,146784,1.059166667
85,113,4,100,162250,0.952273652
86,103,11,69,118726,1.297050351
87,36,34,17,125349,1.226505277
88,114,9,12,146784,1.046666667
89,23,4,54,144562,1.053910364
90,69,21,79,123985,1.228445376
91,67,5,87,105119,1.4454897780000002
92,23,17,53,144682,1.046215562
93,88,17,92,134823,1.1183160890000001
94,102,3,90,108184,1.390945611
95,63,9,56,104663,1.435274261
96,109,4,146,191328,0.7832398290000001
97,30,15,35,167150,0.894261083
98,30,63,33,174046,0.85318887
99,104,7,142,177357,0.835532119
100,41,44,31,204438,0.723434195
101,89,29,53,102999,1.434114409
102,83,14,21,159605,0.9251142509999999
103,22,27,16,195712,0.75375
104,113,3,85,155704,0.9461749220000001
105,113,22,71,119961,1.225504039
106,68,2,130,167593,0.873661907
107,47,4,89,149557,0.9780682279999999
108,105,11,83,103087,1.411593411
109,113,2,99,162215,0.8969661870000001
110,110,27,40,198627,0.731685018
111,71,11,52,99524,1.458000784
112,100,10,65,119794,1.210876087
113,108,3,34,151642,0.951756044
114,92,6,83,149993,0.9607655690000001
115,28,24,65,109089,1.318943707
116,15,23,18,146238,0.982511386
117,82,4,66,102689,1.39722054
118,96,2,52,105167,1.3569867919999998
119,37,38,27,182561,0.780547269
120,113,1,193,209912,0.6756097790000001
121,21,6,65,184730,0.764
122,23,59,14,144708,0.97367319
123,54,11,24,213058,0.658633893
124,42,17,89,177556,0.787337009
125,70,8,57,98104,1.42497258
126,53,12,101,140188,0.996902945
127,13,16,19,155552,0.897522308
128,94,24,95,140931,0.988949912
129,73,7,85,97855,1.423453171
130,113,22,108,169746,0.8176859540000001
131,113,4,64,97250,1.426656247
132,55,1,31,95766,1.438600025
133,101,5,79,129119,1.065611103
134,23,17,109,163010,0.843554751
135,60,18,19,201613,0.681331859
136,58,25,120,172352,0.7902875509999999
137,96,1,45,116917,1.154155854
138,83,135,19,136374,0.9889101290000001
139,46,184,22,135717,0.993493225
140,51,15,80,105118,1.277942503
141,88,6,82,106666,1.255920537
142,44,12,90,179472,0.744693267
143,44,157,17,143287,0.9319913879999999
144,91,9,39,97116,1.3747245559999999
145,71,11,102,102961,1.295748779
146,113,11,90,158149,0.8431856670000001
147,111,7,125,176585,0.75433474
148,86,23,77,94142,1.414713624
149,113,6,79,157844,0.843179595
150,89,13,116,165365,0.802227557
151,38,15,58,91515,1.448642081
152,93,8,109,144321,0.914492693
153,94,9,180,182540,0.720028487
154,51,1,103,218087,0.602317149
155,111,8,107,155834,0.841613512
156,36,121,14,125796,1.040394289
157,50,2,149,155588,0.836742487
158,31,49,76,94185,1.3801774169999999
159,86,3,55,94577,1.3695237740000001
160,30,4,80,92022,1.407186108
161,111,16,40,139742,0.926317142
162,99,7,142,183472,0.702883928
163,37,30,24,125340,1.026238631
164,35,18,13,126495,1.014545871
165,89,2,85,151736,0.843447435
166,110,3,68,117537,1.085817147
167,109,8,116,161730,0.786706177
168,24,2,123,89350,1.419099832
169,85,17,47,91018,1.389867279
170,94,107,49,90602,1.394936204
171,107,2,86,157799,0.799002655
172,74,11,60,106278,1.182681834
173,105,4,110,166843,0.7509068409999999
174,109,2,67,119347,1.046676247
175,50,1,51,99034,1.259950118
176,47,69,74,96520,1.289827497
177,43,27,12,121632,1.023333333
178,53,6,59,85171,1.461263576
179,55,18,120,176951,0.701123814
180,67,3,60,88428,1.40060309
181,95,1,57,90553,1.3667442269999999
182,27,57,43,195034,0.631640227
183,72,2,113,151060,0.81511929
184,108,23,42,165589,0.743348652
185,108,16,58,94554,1.299097235
186,103,30,16,184227,0.66544855
187,113,18,122,180074,0.68017726
188,107,6,72,91164,1.343311285
189,53,10,113,121394,1.008554047
190,105,2,77,157206,0.7772353470000001
191,64,10,57,91658,1.332451177
192,27,13,16,115401,1.057235119
193,59,9,77,151637,0.803643702
194,111,3,88,117157,1.039534044
195,83,51,13,137604,0.884236795
196,107,3,124,113615,1.0701947809999999
197,101,31,69,147549,0.823818121
198,74,1,66,86430,1.406350341
199,40,102,26,178921,0.6793056709999999
200,56,4,59,94946,1.273062688
201,83,1,125,189177,0.6379945770000001
202,99,3,57,144505,0.832500467
203,39,5,64,262290,0.457967364
204,112,114,49,88903,1.3509114430000002
205,79,2,58,84353,1.423312271
206,109,5,136,145540,0.82433441
207,40,4,68,148879,0.8048453440000001
208,74,4,71,180226,0.664729007
209,90,16,116,130636,0.9163108940000001
210,83,1,110,172640,0.6930268190000001
211,69,12,105,145253,0.823284201
212,61,21,52,83356,1.433468257
213,107,3,106,167199,0.714441235
214,109,178,11,112128,1.065035317
215,47,13,59,92635,1.2839906079999999
216,77,18,59,145433,0.817583423
217,99,26,83,94441,1.2547285609999999
218,23,317,10,122320,0.966
219,67,1,116,136228,0.8661216490000001
220,31,6,79,151183,0.7788971640000001
221,97,7,76,86061,1.367977249
222,81,1,100,91727,1.282347182
223,113,1,107,165304,0.7108682190000001
224,70,13,114,151625,0.774562836
225,49,9,57,84080,1.3949203140000002
226,87,22,76,119514,0.98076627
227,97,30,43,94144,1.240551283
228,37,22,20,148827,0.7845195429999999
229,82,32,53,85000,1.373478
230,104,4,56,82981,1.403768453
231,30,2,84,140535,0.827823318
232,73,6,111,141864,0.819703519
233,34,18,109,126167,0.921339098
234,98,5,60,98083,1.175007596
235,44,3,61,161499,0.713012031
236,68,9,43,93447,1.231469603
237,89,5,149,157683,0.724336929
238,41,4,43,111807,1.020765158
239,47,83,56,114358,0.9958276640000001
240,101,3,94,109142,1.0409337379999999
241,104,13,84,139338,0.811427392
242,20,9,16,107047,1.051401627
243,99,17,128,131315,0.856878118
244,90,2,124,130776,0.8600265340000001
245,38,4,111,130622,0.8591966129999999
246,57,1,77,134838,0.832180765
247,97,22,42,77936,1.4360421369999998
248,53,1,124,160524,0.695089955
249,32,6,19,96503,1.156085303
250,43,45,53,134627,0.828407972
