,support,confidence
C1--F3--M3--R0,0.11617806731813246,1.0
F3--L3--M3--R0,0.10640608034744843,1.0
C1--F3--L3--R0,0.0743756786102063,1.0
C1--F3--R0,0.18078175895765472,0.9970059880239521
F3--L3--R0,0.15906623235613462,0.9965986394557823
F3--M3--R0,0.23561346362649294,0.9954128440366973
C1--F3--M2--R0,0.06460369163952226,0.9916666666666667
C2--F3--L3--R0,0.06406080347448426,0.9915966386554622
F3--R0,0.38382193268186754,0.9888111888111888
F3--L2--R0,0.08686210640608034,0.9876543209876543
C2--F3--M3--R0,0.08686210640608034,0.9876543209876543
C1--L3--M3--R0,0.0749185667752443,0.9857142857142857
F3--L1--R0,0.09500542888165038,0.9831460674157303
C2--F3--R0,0.15472312703583063,0.9793814432989693
L3--M3--R0,0.1482084690553746,0.978494623655914
F3--M2--R0,0.1476655808903366,0.9784172661870504
F2--L1--M2--R0,0.08251900108577633,0.9743589743589743
C1--L3--R0,0.13789359391965256,0.9731800766283525
C2--F3--M2--R0,0.06786102062975027,0.9689922480620154
C1--F2--M2--R0,0.10803474484256244,0.9660194174757283
F2--L1--R0,0.10532030401737243,0.9651741293532338
C1--M3--R0,0.19489685124864278,0.9650537634408602
C1--L3--M2--R0,0.06297502714440825,0.9586776859504132
L2--M3--R0,0.08577633007600434,0.9575757575757575
L3--R0,0.3251900108577633,0.9568690095846645
M3--R0,0.3767643865363735,0.9559228650137741
C1--F2--R0,0.16395222584147665,0.9556962025316456
C2--F2--R0,0.15743756786102062,0.9539473684210527
C1--L1--R0,0.08740499457111835,0.9526627218934911
C2--F2--M2--R0,0.12866449511400652,0.9518072289156626
C2--L2--R0,0.0743756786102063,0.9513888888888891
F2--L3--R0,0.13680781758957655,0.9509433962264151
C1--R0,0.38653637350705755,0.9506008010680908
C2--L3--R0,0.1243213897937025,0.950207468879668
F2--M2--R0,0.32084690553745926,0.95016077170418
F2--L3--M2--R0,0.10206297502714441,0.9494949494949495
F2--R0,0.42779587404994573,0.9493975903614459
F2--L2--M2--R0,0.08034744842562432,0.9487179487179487
F2--L2--R0,0.10912052117263844,0.9481132075471699
C1--L2--R0,0.09283387622149837,0.9447513812154696
F2--M3--R0,0.0982627578718784,0.9427083333333333
L3--M2--R0,0.16883821932681867,0.9424242424242424
C2--M3--R0,0.13192182410423453,0.9418604651162791
L2--R0,0.22421281216069489,0.9386363636363636
C2--L3--M2--R0,0.0738327904451683,0.9379310344827587
C1--M2--R0,0.19163952225841477,0.9363395225464191
C3--F2--R0,0.10369163952225842,0.9362745098039217
L2--M2--R0,0.13083604777415853,0.9341085271317829
C3--L3--R0,0.06080347448425624,0.9333333333333333
C3--R0,0.18186753528773072,0.9305555555555556
C3--F2--M2--R0,0.08414766558089033,0.9281437125748503
C2--R0,0.3555917480998914,0.9277620396600567
F2--L0--R0,0.07654723127035831,0.9276315789473686
L1--R0,0.23235613463626492,0.9264069264069263
L1--M2--R0,0.14277958740499458,0.926056338028169
L1--M3--R0,0.08794788273615635,0.9257142857142857
M2--R0,0.5385450597176982,0.9245107176141658
C3--M2--R0,0.12323561346362649,0.9227642276422764
C2--M2--R0,0.22366992399565688,0.9196428571428571
C2--L1--M2--R0,0.06297502714440825,0.9133858267716535
C1--L0--R0,0.06840390879478828,0.9130434782608695
C2--L1--R0,0.0982627578718784,0.9049999999999999
L0--R0,0.15418023887079263,0.9044585987261148
L0--M2--R0,0.09609120521172639,0.8805970149253731
C2--F2--M2,0.13517915309446255,0.8190789473684211
C3--F2--M2,0.09066232356134636,0.8186274509803922
C2--F2--R0--M2,0.12866449511400652,0.8172413793103449
F1--R0,0.10206297502714441,0.8138528138528138
C3--F2--R0--M2,0.08414766558089033,0.8115183246073298
