,L,R,F,M,C,0
3779,0.098039216,0.480821918,0,0.006720094,0.32183926,2
3248,0.098039216,0.306849315,0.004739336,0.004548987,0.490619,2
2430,0.196078431,0.330136986,0.023696682,0.026745975,0.422045978,1
3635,0.656862745,0.190410959,0.018957346,0.019290117,0.174433522,0
2474,0.088235294,0.01369863,0.090047393,0.01921947,0.518361656,0
2509,0.235294118,0.319178082,0.009478673,0.011396591,0.403941825,0
2086,0.058823529,0.739726027,0,0.004307753,0.541783283,2
3352,0.049019608,0.35890411,0.042654028,0.02836569,0.44347497,1
2488,0.558823529,0.060273973,0.037914692,0.022643272,0.488401528,0
2172,0.137254902,0.104109589,0.004739336,0.009016988,0.103117147,2
3100,0.352941176,0.363013699,0.009478673,0.01694153,0.329785995,0
625,0.676470588,0.047945205,0,0.00230034,0.224831848,2
1611,0.156862745,0.006849315,0.033175355,0.023018908,0.287011985,0
3286,0.441176471,0.239726027,0,0.004009656,0.513552373,2
4619,0.137254902,0.180821918,0.033175355,0.021950585,0.479875258,0
3874,0.049019608,0.35890411,0.018957346,0.009256499,0.414287276,2
2814,0.049019608,0.01369863,0.037914692,0.020377394,0.397646657,0
1826,0.088235294,0.742465753,0,0.001319895,0.230195916,2
1023,0.049019608,0.065753425,0.146919431,0.119524631,0.441391361,1
1614,0.784313725,0.006849315,0.383886256,0.257819002,0.604662031,1
3601,0.696078431,0,0.511848341,0.296842073,0.408370238,1
2048,0.009803922,0.435616438,0.004739336,0.00808996,0.307579606,2
4794,0.598039216,0.446575342,0.052132701,0.028076209,0.454881062,1
715,0.068627451,0.17260274,0.042654028,0.029644231,0.188115079,0
3043,0.676470588,0.031506849,0.037914692,0.02869308,0.262454373,0
2638,0.254901961,0.030136986,0.09478673,0.077622258,0.457104641,1
2254,0.058823529,0.706849315,0,0.003478941,0.390892346,2
793,0.37254902,0.017808219,0.109004739,0.048849916,0.455593482,1
1476,0.166666667,0.360273973,0.004739336,0.003878701,0.425701716,2
4325,0.245098039,0.032876712,0.298578199,0.12766456,0.814450108,1
1762,0.088235294,0.375342466,0,0.001059707,0.257470766,2
301,0.098039216,0.12739726,0.061611374,0.02611532,0.440296014,1
3158,0.078431373,0.315068493,0,0.004790221,0.355722842,2
2935,0.715686275,0.717808219,0,0.006144579,0.560111952,2
4504,0.235294118,0.063013699,0.033175355,0.035521729,0.430944584,1
3101,0.019607843,0.134246575,0.109004739,0.064457766,0.549524642,1
76,0.392156863,0.082191781,0.066350711,0.017051808,0.526649632,0
4217,0.245098039,0.001369863,0,0.004414585,0.409684252,2
4524,0.784313725,0.108219178,0.170616114,0.088793123,0.40394021,1
4261,0.725490196,0.028767123,0.066350711,0.024028645,0.405527246,0
4773,0.490196078,0.105479452,0.033175355,0.030143931,0.312924274,0
1588,0.078431373,0.102739726,0.004739336,0.00462825,0.538165562,2
1490,0.029411765,0.315068493,0.004739336,0.006633939,0.500573762,2
4697,0.284313725,0.664383562,0.004739336,0.00475059,0.633426627,2
3572,0.058823529,0.67260274,0.014218009,0.017260304,0.288847656,0
834,0.196078431,0.835616438,0,0.006144579,0.376825266,2
4659,0.039215686,0.206849315,0.014218009,0.009427086,0.364226543,2
3604,0.019607843,0,0.056872038,0.018194225,0.563527086,0
2848,0.637254902,0.915068493,0.004739336,0.003623682,0.522460669,2
2790,0.441176471,0.194520548,0.018957346,0.017094886,0.405001073,0
245,0.588235294,0.34109589,0.037914692,0.022469238,0.348358962,0
3019,0.156862745,0,0.014218009,0.02144227,0.172427706,0
1529,0.078431373,0.820547945,0.004739336,0.008282947,0.581220912,0
3384,0.274509804,0.684931507,0,0.006144579,0.523454615,2
