,0,F
4381,0,0
1696,0,0
4992,0,0
2634,1,0
3498,1,1
1385,0,0
3182,0,0
2493,0,0
2849,0,0
3681,0,1
363,0,0
213,0,0
2652,1,1
269,0,0
4462,0,1
1107,0,0
4941,0,0
4,0,1
3441,0,0
4223,0,0
3186,0,0
1943,0,0
2853,0,1
2191,0,0
3291,0,0
1997,0,0
3925,1,1
1785,1,1
2306,0,1
4972,1,1
2583,0,0
2138,0,0
2825,0,0
4269,0,0
696,0,0
1789,0,0
2230,0,0
3716,0,0
537,0,0
2217,0,0
1009,0,0
2494,0,0
1887,0,1
4551,0,0
1865,0,0
4829,0,0
866,0,0
4472,0,0
4024,0,0
4267,0,0
4083,0,0
1958,0,0
2770,0,0
901,0,0
1226,0,0
4673,0,0
4854,0,0
3878,0,0
1537,0,0
1163,0,0
4745,1,1
4893,0,0
3329,0,0
4228,0,0
4310,0,0
1117,0,0
1549,0,0
3568,0,0
2435,1,1
3847,0,0
1581,0,0
4004,0,0
3298,1,1
4926,0,0
558,0,0
798,0,0
4484,0,0
4708,0,0
3874,0,0
1084,0,0
2396,0,0
713,0,1
2575,0,0
2086,0,0
2096,0,0
2001,0,0
1288,1,1
4146,1,1
1633,0,0
3410,0,0
4099,1,1
1851,0,0
1754,0,0
4624,0,1
4751,0,1
1124,0,1
3697,0,0
4560,0,1
2960,0,0
2045,0,0
1194,0,1
3540,0,0
4953,1,1
956,1,1
1032,0,0
3455,0,0
961,0,0
2714,0,0
1852,0,0
2386,0,0
2965,1,0
2104,0,0
2181,0,0
639,0,1
4320,1,1
2851,0,0
1838,0,0
1980,1,1
3106,0,0
1860,0,0
3241,0,0
2668,0,0
1907,1,1
3811,0,0
441,1,0
4519,0,1
320,0,0
2450,0,0
2471,0,0
4740,0,0
1732,0,0
595,0,0
4950,0,0
4849,1,1
4490,0,0
1639,0,0
4894,0,0
261,0,0
3763,1,1
415,0,0
645,0,0
543,0,0
2807,0,0
215,0,0
1244,0,0
1471,1,1
3624,0,0
1126,0,0
508,0,0
1367,1,1
4522,0,0
3138,1,1
4572,0,0
4859,0,0
3475,0,1
3706,1,0
2738,0,0
315,1,1
4648,0,0
1970,0,0
3864,0,1
463,0,0
283,1,1
4406,0,0
2261,1,0
36,1,1
907,1,0
2136,0,0
4775,0,0
4561,0,0
3600,0,0
1054,0,0
1911,1,1
4516,1,1
3845,1,0
3635,0,0
4589,0,0
2953,0,0
771,0,0
573,0,0
3992,0,0
4865,0,0
687,1,1
4752,1,1
2962,0,0
2284,0,0
3350,0,0
338,1,1
1679,0,0
1902,0,0
817,0,0
1224,0,0
2786,0,0
1491,0,0
3290,1,1
3881,0,0
870,0,0
2975,1,1
4671,0,0
2511,1,1
